Person ID,First name,Last name,Party,Division,URI
10924,Peta,Murphy,Australian Labor Party,Dunkley,http://openaustralia.org.au/mp/peta_murphy/dunkley
10485,Shayne,Neumann,Australian Labor Party,Blair,http://openaustralia.org.au/mp/shayne_neumann/blair
10892,Llew,O'Brien,National Party,Wide Bay,http://openaustralia.org.au/mp/llew_o%27brien/wide_bay
10866,Ted,O'Brien,Liberal Party,Fairfax,http://openaustralia.org.au/mp/ted_o%27brien/fairfax
10496,Brendan,O'Connor,Australian Labor Party,Gorton,http://openaustralia.org.au/mp/brendan_o%27connor/gorton
10728,Ken,O'Dowd,National Party,Flynn,http://openaustralia.org.au/mp/ken_o%27dowd/flynn
10814,Clare,O'Neil,Australian Labor Party,Hotham,http://openaustralia.org.au/mp/clare_o%27neil/hotham
10503,Julie,Owens,Australian Labor Party,Parramatta,http://openaustralia.org.au/mp/julie_owens/parramatta
10784,Tony,Pasin,Liberal Party,Barker,http://openaustralia.org.au/mp/tony_pasin/barker
10919,Alicia,Payne,Australian Labor Party,Canberra,http://openaustralia.org.au/mp/alicia_payne/canberra
10918,Gavin,Pearce,Liberal Party,Braddon,http://openaustralia.org.au/mp/gavin_pearce/braddon
10512,Graham,Perrett,Australian Labor Party,Moreton,http://openaustralia.org.au/mp/graham_perrett/moreton
10926,Fiona,Phillips,Australian Labor Party,Gilmore,http://openaustralia.org.au/mp/fiona_phillips/gilmore
10797,Keith,Pitt,National Party,Hinkler,http://openaustralia.org.au/mp/keith_pitt/hinkler
10513,Tanya,Plibersek,Australian Labor Party,Sydney,http://openaustralia.org.au/mp/tanya_plibersek/sydney
10815,Christian,Porter,Liberal Party,Pearce,http://openaustralia.org.au/mp/christian_porter/pearce
10818,Melissa,Price,Liberal Party,Durack,http://openaustralia.org.au/mp/melissa_price/durack
10529,Rowan,Ramsey,Liberal Party,Grey,http://openaustralia.org.au/mp/rowan_ramsey/grey
10543,Amanda,Rishworth,Australian Labor Party,Kingston,http://openaustralia.org.au/mp/amanda_rishworth/kingston
10545,Stuart,Robert,Liberal Party,Fadden,http://openaustralia.org.au/mp/stuart_robert/fadden
10751,Michelle,Rowland,Australian Labor Party,Greenway,http://openaustralia.org.au/mp/michelle_rowland/greenway
10799,Joanne,Ryan,Australian Labor Party,Lalor,http://openaustralia.org.au/mp/joanne_ryan/lalor
10874,Rebekha,Sharkie,Centre Alliance,Mayo,http://openaustralia.org.au/mp/rebekha_sharkie/mayo
10942,Dave,Sharma,Liberal Party,Wentworth,http://openaustralia.org.au/mp/dave_sharma/wentworth
10580,Bill,Shorten,Australian Labor Party,Maribyrnong,http://openaustralia.org.au/mp/bill_shorten/maribyrnong
10938,Julian,Simmonds,Liberal National Party,Ryan,http://openaustralia.org.au/mp/julian_simmonds/ryan
10910,David,Smith,Australian Labor Party,Bean,http://openaustralia.org.au/mp/david_smith/bean
10592,Tony,Smith,-,Casey,http://openaustralia.org.au/mp/tony_smith/casey
10599,Warren,Snowdon,Australian Labor Party,Lingiari,http://openaustralia.org.au/mp/warren_snowdon/lingiari
10895,Anne,Stanley,Australian Labor Party,Werriwa,http://openaustralia.org.au/mp/anne_stanley/werriwa
10941,Zali,Steggall,Independent,Warringah,http://openaustralia.org.au/mp/zali_steggall/warringah
10940,James,Stevens,Liberal Party,Sturt,http://openaustralia.org.au/mp/james_stevens/sturt
10791,Michael,Sukkar,Liberal Party,Deakin,http://openaustralia.org.au/mp/michael_sukkar/deakin
10876,Meryl,Swanson,Australian Labor Party,Paterson,http://openaustralia.org.au/mp/meryl_swanson/paterson
10817,Angus,Taylor,Liberal Party,Hume,http://openaustralia.org.au/mp/angus_taylor/hume
10742,Dan,Tehan,Liberal Party,Wannon,http://openaustralia.org.au/mp/dan_tehan/wannon
10873,Susan,Templeman,Australian Labor Party,Macquarie,http://openaustralia.org.au/mp/susan_templeman/macquarie
10762,Matt,Thistlethwaite,Australian Labor Party,Kingsford Smith,http://openaustralia.org.au/mp/matt_thistlethwaite/kingsford_smith
10927,Phillip,Thompson,Liberal National Party,Herbert,http://openaustralia.org.au/mp/phillip_thompson/herbert
10930,Kate,Thwaites,Australian Labor Party,Jagajaga,http://openaustralia.org.au/mp/kate_thwaites/jagajaga
10748,Alan,Tudge,Liberal Party,Aston,http://openaustralia.org.au/mp/alan_tudge/aston
